Zero/one-error on test set: 67.31% (51 correct, 105 incorrect, 156 total)
Zero/one-error on test set: 66.88% (52 correct, 105 incorrect, 157 total)
Zero/one-error on test set: 71.34% (45 correct, 112 incorrect, 157 total)
Zero/one-error on test set: 77.71% (35 correct, 122 incorrect, 157 total)
Zero/one-error on test set: 73.89% (41 correct, 116 incorrect, 157 total)
Zero/one-error on test set: 62.18% (59 correct, 97 incorrect, 156 total)
Zero/one-error on test set: 58.60% (65 correct, 92 incorrect, 157 total)
Zero/one-error on test set: 63.69% (57 correct, 100 incorrect, 157 total)
Zero/one-error on test set: 66.88% (52 correct, 105 incorrect, 157 total)
Zero/one-error on test set: 68.15% (50 correct, 107 incorrect, 157 total)
Zero/one-error on test set: 60.26% (62 correct, 94 incorrect, 156 total)
Zero/one-error on test set: 59.24% (64 correct, 93 incorrect, 157 total)
Zero/one-error on test set: 61.15% (61 correct, 96 incorrect, 157 total)
Zero/one-error on test set: 68.15% (50 correct, 107 incorrect, 157 total)
Zero/one-error on test set: 66.88% (52 correct, 105 incorrect, 157 total)
Zero/one-error on test set: 60.90% (61 correct, 95 incorrect, 156 total)
Zero/one-error on test set: 60.51% (62 correct, 95 incorrect, 157 total)
Zero/one-error on test set: 62.42% (59 correct, 98 incorrect, 157 total)
Zero/one-error on test set: 67.52% (51 correct, 106 incorrect, 157 total)
Zero/one-error on test set: 66.88% (52 correct, 105 incorrect, 157 total)
